qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
1118315c0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2821,0.5,156.0,0.5,0.0
185a906e0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1503,0.5,153.0,0.5,0.0
77f4e0140bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2868,0.5,136.0,0.5,0.0
2a98df6408d111ebbd95ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4803,1.0,152.0,1.0,1.0
025359200bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3841,0.5,138.0,0.5,0.0
bd34477e0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3382,0.5,136.0,1.0,1.0
6a8a71280bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.3333,1.0,0.5705,1.0,156.0,1.0,1.0
ef9cbeca0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5283,1.0,159.0,1.0,1.0
c218a802090711ebbdadac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.5605,1.0,157.0,1.0,1.0
f94832c408b811ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5519,0.5,154.0,0.5,0.0
8d2382e0085811ebbd5aac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4876,1.0,121.0,1.0,1.0
86fb31260bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3072,0.5,153.0,1.0,1.0
18c0ccb1086911ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4605,1.0,152.0,1.0,1.0
e6f8d00a089611ebbd76ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4932,1.0,146.0,1.0,1.0
8919fb50085311ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3831,1.0,154.0,1.0,1.0
d5a61878086b11ebbd60ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4865,1.0,148.0,1.0,1.0
f6973183085a11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2418,0.25,153.0,0.5,0.0
fc031d360baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2125,0.5,160.0,0.5,0.0
e5c738900bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2484,0.5,153.0,0.5,0.0
6b466508097711ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3185,0.5,157.0,1.0,1.0
46bd0bd6087511ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5031,0.25,159.0,0.5,0.0
d1bdbdbe087711ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8089,0.5,157.0,0.75,0.0
6152f66c08df11ebbda0ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.526,0.5,154.0,0.5,0.0
98a3e5e9089111ebbd73ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2264,0.5,159.0,0.5,0.0
6946f8d20baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.0,0.0,146.0,0.5,0.0
3d4662300bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,148.0,0.5,0.0
c504923408fe11ebbdadac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2516,1.0,159.0,1.0,1.0
922a629c0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,151.0,0.5,0.0
0e967bac08a711ebbd7fac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2848,0.5,158.0,0.5,0.0
