qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__156085_436709,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.4336,0.5,143.0,0.5,0.0
2hop__31585_61048,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.5,0.0
2hop__94507_654855,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.172,0.5,157.0,0.5,0.0
2hop__82858_654855,chunk_packed_160,chunk,packed,0.0,0.6667,1.0,1.0,0.3567,0.5,157.0,1.0,1.0
2hop__62823_654855,chunk_packed_160,chunk,packed,0.0,0.6667,0.0,0.75,0.4129,0.5,155.0,0.5,0.0
2hop__827755_156034,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2345,0.5,145.0,0.5,0.0
2hop__800166_156034,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2095,0.5,148.0,0.5,0.0
2hop__742831_156034,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4106,0.5,151.0,0.5,0.0
2hop__50910_177869,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.5,0.0
2hop__82270_177869,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.5,0.0
2hop__76314_177869,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.1899,0.5,158.0,0.5,0.0
2hop__401710_456439,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3654,0.5,156.0,0.5,0.0
2hop__613959_135844,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3312,0.5,157.0,0.5,0.0
2hop__258940_135844,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1203,0.5,158.0,0.5,0.0
2hop__747894_135844,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2617,0.5,149.0,0.5,0.0
2hop__16581_16525,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1.0,1.0
