qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__832795_350510,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2302,0.5,126.0,0.5,0.0
2hop__744055_408817,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.3129,1.0,147.0,1.0,1.0
2hop__726717_610238,chunk_packed_160,chunk,packed,0.0,0.4444,1.0,1.0,0.5287,1.0,157.0,1.0,1.0
2hop__499577_617190,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.3161,0.5,155.0,1.0,1.0
2hop__685280_510757,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.5229,0.5,153.0,0.5,0.0
2hop__341305_332933,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.283,0.5,159.0,0.5,0.0
2hop__731228_609866,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2792,0.5,154.0,0.5,0.0
2hop__693444_220151,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.5,0.0
2hop__235471_565925,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.2138,0.5,159.0,0.5,0.0
2hop__310456_846599,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.5,0.0
2hop__335418_279684,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.6188,1.0,160.0,1.0,1.0
2hop__191125_781346,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.25,0.5,84.0,0.5,0.0
2hop__475070_532404,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.6667,1.0,144.0,1.0,1.0
2hop__700093_455653,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3165,0.5,158.0,0.5,0.0
2hop__512773_346751,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.4,0.5,155.0,0.5,0.0
2hop__411091_625230,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,153.0,0.5,0.0
2hop__423972_540249,chunk_packed_160,chunk,packed,0.0,0.6667,0.0,0.6667,0.3878,0.5,147.0,1.0,1.0
2hop__455158_247871,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.375,1.0,152.0,1.0,1.0
2hop__189094_612080,chunk_packed_160,chunk,packed,0.0,0.8,0.0,0.3333,0.4464,0.5,56.0,0.5,0.0
2hop__765678_310556,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2273,0.5,154.0,0.5,0.0
2hop__304852_758385,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1849,0.5,146.0,0.5,0.0
2hop__628752_538661,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.327,0.5,159.0,0.5,0.0
2hop__661847_288421,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2532,0.5,154.0,0.5,0.0
2hop__496732_658428,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.1831,0.5,142.0,0.5,0.0
2hop__175175_347233,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.3407,0.5,135.0,0.5,0.0
2hop__496961_554601,chunk_packed_160,chunk,packed,0.0,0.4,1.0,1.0,0.3595,1.0,153.0,1.0,1.0
2hop__274110_413723,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0
2hop__231890_595414,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.2468,0.5,158.0,0.5,0.0
2hop__342746_679190,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0
2hop__860241_766393,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.2745,0.5,153.0,0.5,0.0
2hop__29368_29376,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.0,0.0,160.0,0.0,0.0
2hop__29367_29376,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.0,0.0,122.0,0.0,0.0
2hop__21075_5028,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.625,1.0,160.0,1.0,1.0
